B000001,Zukay Live Foods,(610) 286-3077,zukay.com,http://zukay.com/find-zukay/,F,F,T,T,
B000002,Zola,(888) 879-9652,http://zolaacai.com,http://zolaacai.com/store-locator/,T,T,T,T,
B000003,Zoe,(212) 563-2707,http://www.zoebrand.com/,http://www.zoebrand.com/wheretobuy/,F,F,T,T,
B000004,Zingerman's,(888) 636-8162,www.zingermans.com,http://www.zingermanscreamery.com/places-to-buy/,T,T,T,F,
B000005,Ziggy Marley Organics,(866) 312-3762,http://www.ziggymarleyorganics.com/,http://www.ziggymarleyorganics.com/store-locator/,F,T,T,F,
B000006,Zerbe's,(717) 291-1076,,,T,F,T,T,
B000007,Zelalem Injera,(202) 640-2624,http://zelaleminjera.com/,http://zelaleminjera.com/zstore/,F,F,F,F,
B000008,Z Natural Foods,(888) 963-6637,http://www.znaturalfoods.com,http://www.znaturalfoods.com/index.php?main_page=contact_us,T,T,T,F,
B000009,Yumbutter,,http://www.yumbutter.com/,http://batchgeo.com/map/92bc342ded5c1d702c20a15a483dce81,F,T,T,F,
B000010,Yogi Tea,(800) 964-4832,http://www.yogiproducts.com,http://www.yogiproducts.com/dealer-locator/,F,T,T,T,
B000011,YAWP!,(919) 797-9297,http://www.yawpeats.com,http://www.yawpeats.com/pages/where-to-find-us,F,T,T,T,
B000012,Y.S. Organic Bee Farms,(800) 654-4593,www.ysorganic.com,,T,F,T,F,
B000013,Wyman's of Maine,(800) 341-1758,wymans.com,http://wymans.com/article/store-locator,F,F,T,F,
B000014,Working Cows Dairy,(334) 886-3839,http://www.workingcowsdairy.com,http://www.workingcowsdairy.com/where-to-find-our-products/,F,F,T,F,
B000015,Woodstock Farms,,www.woodstock-farms.com,http://www.woodstock-foods.com/pages/StoreLocator.aspx,F,T,T,F,
B000016,Wolff's,(315) 536-3311,http://thebirkettmills.com/,http://thebirkettmills.com/shop,F,T,F,F,
B000017,Wolaver's Fine Organic Ales,(802) 388-0727,http://wolaversorganic.com/node/2,,F,F,T,F,
B000018,Wise Organic Pastures,(718) 596-0400,www.wiseorganicpastures.com,,F,T,F,F,
B000019,Wisconsin Natural Acres,(920) 849-9784,www.wnacres.com,http://www.wnacres.com/Outlets.html,F,T,T,F,
B000020,Wills Valley Farm Products,(717) 284-5751,www.willsvalley.com,http://willsvalley.com/1083482.html,F,T,T,F,
B000021,Willow Run Dairy,(717) 556-0285,www.myrealfoodclub.com,http://www.myrealfoodclub.com/shop/,T,F,F,T,
B000022,Willow Hills,(270) 479-0055,willowhills.org,,F,T,F,F,
B000023,Williamson Farms,(1888) 743-2960,http://williamsonfarms.ca,,T,F,T,F,
